Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
"National Imaging Associates, Inc.",MD,Business Associate,744,05/02/2022,Unauthorized Access/Disclosure,Laptop,Yes,NA
"National Imaging Associates, Inc.",MD,Business Associate,616,04/22/2022,Unauthorized Access/Disclosure,Laptop,Yes,NA
"Wayne Family Practice Associates, PC",GA,Healthcare Provider,5944,04/19/2022,Hacking/IT Incident,Network Server,No,NA
"Optima Dermatology Holdings, LLC",NH,Healthcare Provider,59872,04/18/2022,Hacking/IT Incident,Email,No,NA
"HealthActions, P.A.",AL,Healthcare Provider,2369,04/18/2022,Hacking/IT Incident,Email,No,NA
"Smile Brands, Inc.",CA,Business Associate,2592494,06/24/2021,Hacking/IT Incident,Network Server,Yes,NA
"Mississippi Center for Advanced Medicine, PC",MS,Healthcare Provider,8908,06/23/2021,Hacking/IT Incident,Network Server,No,NA
Massena Hospital,NY,Healthcare Provider,1897,05/21/2021,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Massena Hospital, reported that its business associate experienced a cyber-attack that affected the electronic protected health information (ePHI) of 1,897 individuals. The ePHI involved included names, dates of birth, and medications prescribed. The CE notified HHS, affected individuals, the media, and provided substitute notice on its website."
Dallas County Hospital District d/b/a Parkland Health & Hospital System,TX,Healthcare Provider,1566,03/23/2021,Unauthorized Access/Disclosure,Email,No,"The covered entity (CE), Dallas County Hospital District dba Parkland Health & Hospital System, reported that an employee inadvertently emailed the electronic protected health information (ePHI) of 1,566 individuals to the wrong recipient. The ePHI involved included names, dates of birth, and lab results. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE sanctioned the responsible employee and retrained its workforce to better protect its sensitive data."
Agility Center Orthopedics,AR,Healthcare Provider,13968,04/22/2020,Hacking/IT Incident,Email,No,"The covered entity (CE), Agility Center Orthopedics, reported that several employees were the victims of an email phishing scheme that affected the electronic protected health information (ePHI) of 13,968 individuals. The ePHI involved included names, dates of birth, and telephone numbers. The CE notified HHS and affected individuals. In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its ePHI.  
"
"Communities Connected for Kids, Inc.",FL,Business Associate,192041,05/15/2019,Hacking/IT Incident,Network Server,Yes,NA
Center for Sight & Hearing,IL,Healthcare Provider,5319,04/18/2019,Hacking/IT Incident,Email,No,"The covered entity (CE), Center for Sight & Hearing, reported that several employees were the victims of an email phishing scheme that affected the electronic protected health information (ePHI) of 5,319 individuals. The ePHI involved included names, addresses, dates of birth, drivers’ license numbers, Social Security numbers, financial information, diagnoses/conditions, and other treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its ePHI.  In addition, the CE retrained its workforce members on the proper methods of identifying fraudulent email communications.  OCR provided technical assistance to the CE."
Pawnee County Memorial Hospital,NE,Healthcare Provider,7175,01/28/2019,Hacking/IT Incident,Email,No,"The covered entity (CE), Pawnee County Memorial Hospital, reported that a workforce member was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 7,175 individuals. The ePHI involved included names, addresses, dates of birth, drivers’ license numbers, Social Security numbers, diagnoses and conditions, lab results, and other treatment information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. The CE also provided complimentary credit monitoring services to affected individuals. In response to the breach, the CE implemented additional technical safeguards and enhanced its security awareness training."
