Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
ARcare,AR,Healthcare Provider,345353,04/25/2022,Hacking/IT Incident,Network Server,No,NA
La Casa de Salud,NY,Healthcare Provider,9969,04/20/2022,Hacking/IT Incident,Email,No,NA
New Creation Counseling Center,OH,Healthcare Provider,24029,04/14/2022,Hacking/IT Incident,"Network Server, Other",No,NA
Advantage Benefits Group,MI,Business Associate,7147,04/06/2022,Hacking/IT Incident,Email,Yes,NA
Connecticut Department of Social Services,CT,Health Plan,36915,10/30/2020,Hacking/IT Incident,Email,No,NA
Practolytics LLC,SC,Business Associate,1125,01/18/2022,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,"The business associate (BA), Practolytics, reported that electronic protected health information (ePHI) was inadvertently posted to the Internet. This breach affected 1,125 individuals. The ePHI involved included names, addresses, dates of birth, Social Security numbers, and treatment information. The BA notified HHS, affected individuals, and the media. In response to the breach, the BA implemented additional administrative and technical safeguards to better protect ePHI. OCR provided technical assistance to Practolytics regarding the HIPAA Breach Notification Rule.

"
Humana Inc,KY,Health Plan,1823,11/09/2021,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Humana, reported that its business associate (BA) experienced a ransomware attack that affected the electronic protected health information (ePHI) of 1,823 individuals.  The ePHI involved included names, addresses, dates of birth, Social Security numbers, diagnoses and medical conditions, medications prescribed, and other treatment information.  The CE notified HHS and the BA notified affected individuals, the media,  and provided complimentary credit monitoring services.  OCR provided the CE with technical assistance regarding the HIPAA Breach Notification Rule."
Humana Inc,KY,Health Plan,1965,11/04/2021,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Humana, reported that its business associate (BA) suffered a ransomware attack that affected the electronic protected health information (ePHI) of 1,965 individuals. The ePHI involved included names, addresses, dates of birth, Social Security numbers, and claims and financial information. The CE notified HHS and the BA notified affected individuals and the media. In response to the breach, the BA implemented additional technical and security safeguards. OCR provided the CE with technical assistance regarding the HIPAA Breach Notification Rule."
Blue Cross of California,IN,Health Plan,672,10/27/2021,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Blue Cross of California, reported that its business associate (BA) experienced a ransomware attack that affected the electronic protected health information (ePHI) of 672 individuals.  The ePHI involved included names, gender, email addresses, phone numbers, home addresses, Social Security numbers, health insurance information, and other treatment information."
Humana Inc,KY,Health Plan,4424,10/12/2021,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Humana, Inc., reported that a vendor of its business associate (BA) experienced a ransomware breach that affected the electronic protected health information (ePHI) of 4,424 individuals.  The ePHI involved included names, addresses, dates of birth, Social Security numbers, health insurance information, diagnoses, and other treatment information.  The CE notified HHS and the media.  The BA and its vendor notified affected individuals.  The BA and its vendor offered complimentary credit monitoring services.  OCR provided the CE with technical assistance regarding the HIPAA Breach Notification Rule."
Humana Inc,KY,Health Plan,948,09/28/2021,Unauthorized Access/Disclosure,Paper/Films,Yes,"The covered entity (CE), Humana, reported that an employee of its business associate (BA) inadvertently mailed the protected health information (PHI) of 948 individuals to the wrong recipients.  The PHI involved included names, addresses, dates of birth, diagnoses, conditions, and other treatment information.  The CE notified HHS and the affected individuals.  In response to the breach, the BA strengthened its administrative safeguards to better protect its PHI."
Doctors Medical Center of Modesto,CA,Healthcare Provider,1259,04/23/2021,Unauthorized Access/Disclosure,Network Server,Yes,"The covered entity (CE), Doctors Medical Center of Modesto, reported that an employee of its business associate (BA) inadvertently misconfigured a software application allowing the electronic protected health information (ePHI) of 1,259 individuals to be viewable over the Internet. The ePHI involved included names, addresses, email addresses, dates of birth, and treatment information. The CE notified HHS, affected individuals, and the media.  Following OCR’s investigation, the CE terminated its business relationship with the BA and offered affected individuals complimentary identity monitoring services."
University Health,TX,Healthcare Provider,2704,04/08/2021,Unauthorized Access/Disclosure,Network Server,Yes,"The covered entity (CE), University Health, reported that an employee of its business associate (BA) uploaded the electronic protected health information (ePHI) of 2,704 individuals to the Internet. The ePHI involved included names, dates of birth, Social Security numbers, addresses, diagnoses, conditions, and other treatment information. The CE notified HHS, the affected individuals, and the media."
"Administrative Advantage, LLC",GA,Business Associate,4852,04/05/2021,Hacking/IT Incident,Email,Yes,"The business associate (BA), Administrative Advantage, reported that several employees were the victims of an email phishing scheme that affected the electronic protected health information of 4,852 individuals. The ePHI involved included names, dates of birth, Social Security numbers, financial information, drivers’ license and/or state identification numbers, health insurance information, lab results, and other treatment information. The BA notified HHS, affected individuals, the media, and provided substitute notice.  Complimentary credit monitoring services were provided to affected individuals. In its mitigation efforts, the BA implemented additional administrative, technical, and security safeguards to better protect its ePHI and retrained its workforce members on email security."
"Sandhills Medical Foundation, Inc.",SC,Healthcare Provider,39602,03/12/2021,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Sandhills Medical Foundation, reported that its business associate (BA) experienced a ransomware attack that affected the electronic protected health information (ePHI) of 39,602 individuals. The ePHI involved included names, addresses, dates of birth, Social Security numbers, drivers’ license numbers, diagnoses and conditions, financial information, and claims information. The CE notified HHS, affected individuals, the media, and provided substitute notice. The CE also provided complimentary credit monitoring services to affected individuals.  In response to the breach, the BA strengthened its technical safeguards to better protect ePHI."
Humana Inc,KY,Health Plan,64654,02/22/2021,Unauthorized Access/Disclosure,Network Server,Yes,"The covered entity (CE), Humana, reported that an employee of its business associate (BA) impermissibly provided the electronic protected health information (ePHI) of 64,654 individuals to others during a training program.  The ePHI involved included names, addresses, dates of birth, Social Security numbers, claims and health insurance information, diagnoses, and other treatment information.  The CE notified HHS, affected individuals, and the media.  The BA strengthened its administrative safeguards to better protect sensitive data. OCR provided technical assistance to the CE regarding the HIPAA Breach Notification Rule."
Humana Inc,KY,Health Plan,564,08/19/2020,Hacking/IT Incident,Other,No,"The covered entity (CE), Humana, reported that it experienced a cyber-attack that affected the electronic protected health information (ePHI) of 564 individuals.  The ePHI involved included names, addresses, birthdates, diagnoses, medications prescribed, lab results, and financial and other treatment information.  The CE notified HHS and the affected individuals.  In response to the breach, the CE implemented additional technical safeguards to better protect its ePHI.  OCR provided the CE with technical assistance regarding the HIPAA Breach Notification Rule."
"Women's Care Florida, LLC",FL,Healthcare Provider,527310,09/25/2019,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Women’s Care Florida, reported that it experienced a ransomware attack that affected the electronic protected health information (ePHI) of approximately 527,310 individuals. The ePHI involved included names, addresses, dates of birth, Social Security numbers, driver’s license numbers, diagnoses, lab results, medications prescribed, and other treatment and health insurance information. The CE notified HHS, affected individuals, the media, and posted substitute notice to its website. The CE also provided complementary credit monitoring services. In its mitigation efforts, the CE offered implemented additional administrative, technical, and security safeguards to better protect its ePHI.  All staff were retrained."
Southwest Gastroenterology,IL,Healthcare Provider,1600,06/28/2019,Theft,Electronic Medical Record,No,"The covered entity (CE), Southwest Gastroenterology, reported that an employee impermissibly accessed the electronic protected health information (ePHI) of approximately 1,600 individuals. The ePHI involved included names, addresses, dates of birth, Social Security numbers, and health insurance information.  The CE notified HHS, affected individuals, the media, and provided substitute notice. The CE also provided free credit monitoring services to the affected individuals.  In response to the breach, the CE implemented additional administrative and technical safeguards.  OCR provided the CE with technical assistance regarding the HIPAA Security Rule."
Humana Inc,KY,Health Plan,5569,02/27/2019,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Humana, reported that its business associate (BA) experienced a cyber-attack that affected the electronic protected health information (ePHI) of 5,569 individuals.  The ePHI involved included names, diagnoses, conditions, health insurance and other treatment information.  The CE notified HHS, affected individuals, and the media."
Valley Hope Association,KS,Healthcare Provider,70799,01/18/2019,Hacking/IT Incident,Email,No,"The covered entity (CE), Valley Hope Association, reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 70,799 individuals. The ePHI involved included names, dates of birth, drivers’ license numbers, Social Security numbers, addresses, medications prescribed, and other treatment information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its ePHI. In addition, the CE retrained its workforce members on email security."
John J. Pershing VA Medical Center,MO,Healthcare Provider,1843,03/07/2018,Unauthorized Access/Disclosure,Paper/Films,No,"The covered entity (CE), John J. Pershing VA Medical Center, reported that a file cabinet was left unlocked in the hallway which contained the protected health information (PHI) of 1,843 individuals. The PHI involved included dates of birth, names, Social Security numbers, diagnoses, lab results, and medications prescribed. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE strengthened its administrative safeguards and retrained it staff on the importance of securing PHI."
United Health Group Single Affiliated Covered Entity,MN,Health Plan,1408,11/22/2016,Hacking/IT Incident,Other,No,"The covered entity (CE), United Health Group, reported that it experienced a cyber-attack that affected the electronic protected health information (ePHI) approximately 1,408 individuals.   The ePHI involved included names, addresses, and claims and health insurance information. The CE notified HHS, affected individuals, the media, and provided substitute notice.  In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its ePHI."
